Time,RawValue1,RawValue2
2770.03758004,416,5264
2770.039137304,416,5280
2770.040679939,416,5264
2770.042204536,416,5264
2770.043729004,416,5280
2770.045256102,416,5264
2770.046779977,416,5264
2770.048303371,416,5264
2770.049826191,416,5232
2770.051349363,384,5248
2770.052875535,416,5248
2770.054399447,400,5264
2770.055926082,416,5248
2770.057447661,400,5248
2770.058966647,400,5248
2770.060497356,416,5248
2770.062019546,416,5264
2770.063541681,384,5264
2770.06506839,416,5296
2770.066592265,416,5248
2770.068116381,416,5232
2770.069642034,416,5248
2770.071164447,416,5248
2770.07268623,400,5296
2770.074206124,416,5280
2770.075725073,416,5264
2770.077251337,416,5264
2770.078780787,384,5248
2770.080306866,416,5264
2770.081829223,416,5232
2770.083352006,400,5232
2770.084876011,400,5264
2770.086399293,416,5248
2770.087921669,400,5248
2770.089450267,400,5248
2770.090970327,400,5248
2770.092490832,400,5248
2770.094012448,368,5264
2770.095534824,416,5264
2770.097057847,416,5280
2770.098591186,416,5280
2770.100120617,432,5280
2770.101643214,448,5264
2770.103166275,400,5264
2770.10469078,416,5264
2770.106218044,432,5264
2770.10773966,416,5264
2770.109264054,416,5264
2770.110792022,448,5280
2770.112321157,432,5280
2770.113845143,432,5280
2770.115367963,400,5280
2770.116888394,432,5264
2770.11841864,432,5264
2770.119941978,416,5280
2770.12146828,432,5264
2770.122990414,416,5280
2770.12451203,448,5264
2770.126032961,432,5264
2770.127558985,384,5280
2770.129088768,416,5280
2770.130613125,416,5264
2770.132142463,416,5264
2770.133676024,400,5264
2770.135201121,432,5280
2770.136723404,416,5264
2770.138248946,432,5280
2770.139803507,416,5296
2770.141335568,416,5264
2770.14286498,416,5264
2770.144389818,416,5280
2770.14591362,416,5264
2770.147440477,416,5264
2770.148964445,400,5264
2770.150488413,416,5280
2770.152017066,400,5232
2770.153547886,416,5232
2770.155068687,416,5248
2770.156594933,384,5264
2770.158119104,416,5232
2770.159642572,400,5264
2770.161165966,400,5248
2770.162688397,432,5264
2770.164214865,416,5264
2770.165738352,416,5248
2770.167266079,416,5232
2770.168790103,400,5248
2770.170313163,400,5248
2770.171835779,416,5248
2770.173358692,432,5248
2770.174886549,400,5248
2770.176414535,416,5264
2770.177937207,400,5264
2770.179454916,400,5248
2770.18097655,400,5264
2770.182496241,400,5264
2770.184019857,384,5264
2770.185547825,384,5280
2770.187073626,416,5280
2770.188597316,384,5248
2770.19011734,400,5264
2770.191639178,368,5248
2770.193162516,384,5264
2770.194701299,432,5264
2770.196259693,416,5264
2770.197782661,416,5280
2770.199340296,400,5280
2770.200861672,416,5264
2770.202380547,400,5280
2770.203904645,432,5264
2770.205432705,416,5264
2770.206960784,416,5280
2770.208490919,416,5280
2770.210090924,432,5264
2770.211639466,416,5264
2770.213169397,416,5264
2770.214696865,416,5264
2770.216259019,416,5280
2770.217799302,416,5264
2770.219326399,416,5280
2770.220853571,448,5280
2770.222374594,416,5264
2770.223893803,400,5280
2770.22544579,416,5280
2770.226970424,432,5280
2770.22849917,400,5296
2770.230024397,416,5280
2770.231550199,448,5248
2770.233090445,432,5280
2770.234622246,416,5264
2770.236179603,416,5280
2770.23769696,416,5280
2770.239239928,432,5280
2770.240821804,416,5280
2770.242351623,416,5264
2770.243880462,416,5264
2770.245408837,416,5264
2770.246933139,432,5264
2770.248456718,416,5264
2770.249999463,400,5248
2770.251535172,416,5248
2770.253063066,368,5248
2770.254588905,384,5264
2770.256113502,400,5248
2770.257636822,416,5264
2770.259160142,400,5280
2770.26068498,400,5248
2770.262212485,400,5232
2770.263733101,352,5248
2770.265264273,400,5232
2770.266787963,400,5232
2770.268315839,416,5296
2770.269840288,400,5248
2770.27136109,416,5264
2770.272889983,416,5248
2770.2744166,400,5248
2770.275938808,400,5264
2770.277461832,416,5232
2770.278984578,416,5232
2770.280507046,384,5264
2770.282030588,416,5248
2770.283561056,416,5248
2770.285086357,400,5280
2770.286609418,400,5264
2770.288134756,400,5248
2770.289658946,416,5248
2770.291182248,384,5248
2770.292706012,384,5264
2770.294236684,384,5280
2770.295761022,432,5280
2770.297281638,416,5264
2770.298801347,416,5264
2770.300330944,448,5280
2770.301855061,432,5264
2770.303382825,416,5264
2770.304915534,416,5264
2770.306440668,416,5280
2770.30796547,416,5264
2770.309489753,400,5264
2770.311054443,400,5296
2770.312722226,416,5280
2770.314263213,432,5280
2770.315795329,416,5264
2770.317322297,416,5280
2770.318848154,432,5280
2770.320373085,416,5264
2770.321889997,416,5264
2770.323413465,416,5296
2770.32495597,416,5280
2770.326492327,416,5280
2770.328019795,416,5296
2770.329544134,400,5280
2770.331068472,432,5280
2770.332609403,400,5280
2770.334143667,416,5280
2770.335665691,432,5264
2770.33718764,416,5280
2770.338705645,432,5264
2770.340229984,432,5264
2770.341755581,416,5264
2770.34328266,480,5264
2770.344834091,416,5280
2770.346368541,416,5264
2770.34789649,416,5280
2770.349443681,400,5248
2770.350977538,400,5280
2770.352504506,384,5248
2770.354026992,416,5232
2770.355547886,400,5232
2770.357081687,384,5264
2770.358611026,368,5248
2770.360133309,400,5264
2770.361656295,400,5248
2770.363181597,432,5264
2770.364705213,384,5248
2770.366228236,400,5264
2770.36775176,384,5248
2770.369275876,432,5248
2770.370799011,400,5248
2770.372329867,416,5248
2770.373854761,400,5280
2770.375378063,432,5264
2770.376898623,400,5280
2770.37841748,384,5248
2770.379948874,416,5264
2770.381477935,400,5232
2770.382997662,400,5248
2770.384517537,400,5248
2770.386041987,416,5248
2770.387565492,432,5264
2770.389094701,400,5248
2770.390621391,384,5248
2770.392149063,384,5232
2770.393675475,400,5264
2770.395198239,416,5264
2770.396721226,432,5264
2770.398252009,416,5264
2770.399773606,432,5264
2770.401300963,448,5280
2770.402827394,432,5280
2770.404350455,416,5280
2770.405874219,432,5280
2770.407397817,432,5280
2770.408928525,448,5280
2770.410457012,400,5280
2770.411982406,416,5280
2770.413560522,416,5280
2770.415099675,416,5264
2770.416637792,416,5264
2770.418169019,416,5296
2770.419693857,416,5280
2770.421232973,416,5280
2770.422759627,416,5280
2770.424291743,416,5280
2770.425822803,448,5280
2770.427353012,400,5280
2770.428883517,448,5264
2770.430412411,416,5280
2770.431936268,416,5280
2770.433472125,416,5264
2770.435002352,432,5280
2770.436527894,432,5280
2770.438049788,416,5264
2770.439579164,416,5264
2770.441113113,432,5264
2770.44263834,416,5264
2770.444190216,416,5280
2770.445749203,432,5280
2770.447274467,416,5264
2770.448833435,416,5248
2770.450375366,400,5248
2770.451904538,416,5232
2770.453429969,400,5248
2770.454955289,416,5248
2770.456491423,400,5248
2770.458016113,432,5248
2770.459541378,400,5264
2770.461072327,384,5280
2770.462600351,400,5264
2770.464130763,416,5232
2770.465658916,384,5264
2770.467190477,400,5232
